Target,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39,Sp41,Sp42,Sp43,Sp44,Sp45,Sp46,Sp47,Sp48,Sp49
NN,0.5574,0.5182,0.4458,0.2992,0.5574,0.5545,0.4211,0.3047,0.5574,0.6262,0.4947,0.3594,0.6065,0.5445,0.4348,0.2992,0.5893,0.5534,0.3976,0.2348,0.5893,0.5922,0.4778,0.376,0.5082,0.5098,0.4713,0.3167,0.4107,0.4041,0.5474,0.4219,0.2778,0.1981,0.6421,0.625
NN,0.5574,0.5545,0.4097,0.265,0.5574,0.5818,0.4947,0.3594,0.5574,0.5959,0.4526,0.336,0.541,0.5445,0.3913,0.2992,0.5893,0.5922,0.4458,0.2957,0.4643,0.466,0.4778,0.408,0.3771,0.3922,0.5632,0.4084,0.2858,0.2021,0.6421,0.625,0.1482,0.109,0.7894,0.7734
NN,0.5574,0.5818,0.494,0.3248,0.5574,0.5545,0.4526,0.336,0.4262,0.5252,0.379,0.2735,0.541,0.5841,0.4348,0.359,0.4643,0.466,0.4458,0.3305,0.2858,0.3495,0.5222,0.488,0.2623,0.1961,0.6666,0.625,0.1608,0.1112,0.7894,0.7734,0.0927,0.0496,0.7894,0.8281
NN,0.5574,0.5545,0.4458,0.2992,0.4262,0.4909,0.379,0.2735,0.3607,0.4849,0.379,0.336,0.4262,0.4555,0.4348,0.3932,0.2858,0.3495,0.494,0.4174,0.2143,0.2136,0.6666,0.632,0.1476,0.1079,0.8275,0.7833,0.1072,0.0506,0.7894,0.8281,0.0927,0.0496,0.8526,0.8281
NN,0.3607,0.4546,0.3615,0.2992,0.3607,0.4182,0.4947,0.4219,0.2951,0.3132,0.6316,0.5391,0.1968,0.1981,0.6195,0.6325,0.1072,0.1263,0.759,0.6956,0.018,0.0972,0.7666,0.7999,0.0984,0.0491,0.8965,0.8416,0.1072,0.0506,0.7894,0.8281,0.0371,0.0496,0.8526,0.7968
NN,0.2951,0.3,0.6506,0.5214,0.1312,0.1637,0.7263,0.6797,0.0821,0.0809,0.7263,0.7656,0.0165,0.0793,0.7173,0.8119,0.0537,0.068,0.8192,0.8173,0.0537,0.068,0.8222,0.8559,0.0493,0.0491,0.8965,0.8083,0.0537,0.0506,0.7368,0.8281,0.0371,0.0199,0.7368,0.8593
NN,0.1312,0.1637,0.759,0.6752,0.0821,0.091,0.7263,0.7656,0.0821,0.0304,0.7263,0.7968,0.0493,0.0496,0.7717,0.8717,0.0537,0.068,0.8192,0.8173,0.018,0.0389,0.8222,0.8319,0.0493,0.0491,0.7701,0.8416,0.0537,0.0203,0.7368,0.8593,0.0371,0.0496,0.8526,0.8281
NN,0.0821,0.091,0.759,0.7692,0.0821,0.0455,0.7263,0.7968,0.0821,0.0506,0.7263,0.7968,0.0493,0.0496,0.7717,0.8717,0.018,0.0389,0.8192,0.7912,0.0537,0.068,0.7666,0.8319,0.0493,0.0197,0.7701,0.8749,0.0537,0.0506,0.8526,0.8281,0.0371,0.0199,0.7894,0.8281
NN,0.0821,0.0455,0.759,0.8034,0.0821,0.0637,0.7263,0.7968,0.0165,0.0506,0.7263,0.7968,0.0165,0.0199,0.7717,0.8461,0.0537,0.068,0.759,0.7912,0.0537,0.0972,0.7666,0.8559,0.0493,0.0491,0.8965,0.8416,0.0537,0.0203,0.7894,0.8281,0.0927,0.0199,0.8526,0.8593
NN,0.1804,0.191,0.6506,0.5812,0.4918,0.4546,0.4947,0.3594,0.6885,0.707,0.5789,0.4219,0.0493,0.0496,0.7173,0.8461,0.2143,0.2816,0.5903,0.4783,0.5893,0.631,0.5667,0.376,0.0001,0.0197,0.8965,0.8749,0.0537,0.1112,0.7368,0.7109,0.4074,0.4357,0.5895,0.4219
NN,0.4918,0.4546,0.494,0.3248,0.6885,0.6545,0.5789,0.4219,0.754,0.7474,0.5789,0.4453,0.1968,0.2674,0.5652,0.5385,0.5893,0.631,0.5422,0.2957,0.7321,0.7281,0.6666,0.432,0.0493,0.1079,0.7701,0.7166,0.4107,0.4445,0.5895,0.4219,0.7777,0.7227,0.5895,0.4219
NN,0.754,0.6909,0.5903,0.4188,0.754,0.6182,0.5789,0.4219,0.6885,0.707,0.6316,0.4219,0.6721,0.7227,0.6195,0.4188,0.7857,0.7281,0.6506,0.3566,0.7857,0.6796,0.6111,0.432,0.7049,0.7156,0.6092,0.4084,0.8392,0.8282,0.6421,0.4844,0.8518,0.7227,0.6842,0.4531
NN,0.754,0.6182,0.5903,0.3932,0.6885,0.6545,0.6316,0.4219,0.754,0.707,0.5789,0.4453,0.7213,0.7227,0.6195,0.4188,0.7857,0.6796,0.5903,0.3566,0.7321,0.6796,0.6111,0.432,0.7704,0.8039,0.6666,0.475,0.8392,0.7373,0.6842,0.4531,0.7777,0.8118,0.5895,0.4531
NN,0.6885,0.6545,0.6506,0.3932,0.754,0.6545,0.5789,0.4453,0.754,0.7474,0.5789,0.4453,0.7213,0.6732,0.5652,0.4188,0.7321,0.6796,0.5903,0.3566,0.9285,0.7669,0.7111,0.488,0.7704,0.7156,0.7126,0.4417,0.7678,0.8282,0.5895,0.4531,0.7777,0.7623,0.6421,0.4531
NN,0.754,0.6545,0.5903,0.4188,0.754,0.6909,0.5789,0.4453,0.754,0.7979,0.6736,0.4453,0.6721,0.6732,0.5652,0.4188,0.9285,0.7669,0.6988,0.4174,0.9285,0.8543,0.7111,0.488,0.7049,0.8039,0.6092,0.4417,0.7678,0.7777,0.6421,0.4531,0.9258,0.7623,0.6421,0.4531
NN,0.754,0.7363,0.6988,0.4188,0.836,0.7363,0.6736,0.4766,0.9016,0.7979,0.6736,0.4766,0.8524,0.8514,0.663,0.4786,0.9285,0.8543,0.6988,0.4174,0.9285,0.8155,0.7666,0.488,0.836,0.7549,0.6666,0.4417,0.9106,0.8282,0.6421,0.4531,0.8518,0.7623,0.5895,0.4219
NN,0.836,0.7363,0.6988,0.453,0.9016,0.7363,0.6736,0.4766,0.9016,0.8383,0.6736,0.4766,0.8524,0.8514,0.663,0.4786,0.9285,0.8155,0.759,0.4174,0.8571,0.8155,0.7111,0.464,0.836,0.8039,0.6666,0.4417,0.8392,0.7777,0.5895,0.4219,0.7777,0.7227,0.5895,0.4219
NN,0.836,0.7363,0.6506,0.453,0.754,0.7363,0.6316,0.4766,0.836,0.7979,0.6316,0.4453,0.7868,0.7623,0.663,0.453,0.8571,0.7669,0.6506,0.3913,0.8571,0.7281,0.6666,0.464,0.7704,0.7549,0.6092,0.4417,0.8392,0.8282,0.6842,0.4219,0.9258,0.8118,0.6842,0.4844
NN,0.754,0.7363,0.6506,0.453,0.836,0.7363,0.6316,0.4453,0.754,0.7474,0.6316,0.4766,0.7868,0.7623,0.6195,0.453,0.8571,0.7281,0.6506,0.3913,0.9285,0.7669,0.7111,0.488,0.7704,0.8039,0.7126,0.4084,0.9106,0.8282,0.6842,0.4844,0.8518,0.8118,0.6421,0.4531
NN,0.754,0.6909,0.6506,0.453,0.754,0.6909,0.6736,0.4453,0.836,0.7979,0.6736,0.4453,0.8524,0.7623,0.663,0.4786,0.9285,0.8155,0.6506,0.4522,0.9285,0.7669,0.7111,0.464,0.7704,0.8039,0.6666,0.4417,0.9106,0.7777,0.6421,0.4531,0.8518,0.7623,0.6421,0.4531
NN,0.754,0.6909,0.6988,0.4188,0.836,0.7363,0.6736,0.4453,0.836,0.7979,0.6316,0.4453,0.8524,0.8118,0.6195,0.5128,0.9285,0.7669,0.6988,0.3913,0.8571,0.8155,0.6666,0.464,0.836,0.7549,0.6666,0.4417,0.8392,0.7777,0.6421,0.4531,0.7777,0.7227,0.6842,0.4531
NN,0.836,0.7363,0.6506,0.4188,0.836,0.7363,0.6316,0.4453,0.836,0.7474,0.5789,0.4453,0.7868,0.8118,0.6195,0.453,0.7857,0.7669,0.6506,0.3913,0.8571,0.7669,0.7111,0.488,0.7049,0.7156,0.7126,0.4417,0.7678,0.7777,0.6842,0.4844,0.8518,0.8118,0.6842,0.4531
NN,0.4918,0.4546,0.3133,0.2308,0.4918,0.4909,0.3369,0.3047,0.4918,0.4849,0.379,0.3047,0.4754,0.4951,0.3153,0.265,0.5179,0.5922,0.3976,0.2348,0.5893,0.5534,0.3889,0.32,0.5738,0.549,0.3793,0.3167,0.625,0.5656,0.379,0.336,0.4815,0.5544,0.379,0.3047
NN,0.4918,0.4546,0.3615,0.265,0.4262,0.4182,0.2632,0.2422,0.3607,0.3738,0.1895,0.2188,0.541,0.5445,0.3479,0.2992,0.5893,0.5049,0.3494,0.2348,0.4643,0.5049,0.3556,0.288,0.4426,0.549,0.3793,0.2834,0.5536,0.5656,0.379,0.336,0.5555,0.5148,0.3369,0.3047
NN,0.3607,0.3546,0.1446,0.171,0.3607,0.3273,0.2316,0.2422,0.3607,0.3738,0.2316,0.2735,0.4262,0.4951,0.3153,0.265,0.5179,0.5049,0.3133,0.174,0.4643,0.466,0.2667,0.264,0.5082,0.5098,0.3334,0.2834,0.5536,0.5252,0.379,0.3047,0.5555,0.4753,0.2948,0.25
NN,0.3607,0.3546,0.1928,0.2308,0.2951,0.2728,0.2632,0.2735,0.246,0.192,0.2632,0.3047,0.4262,0.4555,0.2283,0.2394,0.3393,0.3495,0.2169,0.1392,0.2858,0.2816,0.2667,0.264,0.5082,0.4706,0.2874,0.2251,0.4107,0.4445,0.2527,0.2188,0.4815,0.4753,0.2948,0.2813
NN,0.6065,0.6818,0.5903,0.3675,0.6065,0.6363,0.5368,0.3985,0.6721,0.6363,0.4526,0.3672,0.6393,0.6831,0.5326,0.359,0.7678,0.6505,0.506,0.2957,0.6964,0.6505,0.4889,0.344,0.6393,0.6862,0.5402,0.3334,0.7678,0.6666,0.5263,0.3828,0.7037,0.693,0.5263,0.3516
NN,0.6065,0.6363,0.5422,0.3675,0.6721,0.5909,0.4526,0.3672,0.6065,0.6363,0.4526,0.3438,0.7049,0.6435,0.4891,0.359,0.6964,0.6505,0.4578,0.2609,0.6964,0.6019,0.4889,0.344,0.7049,0.647,0.5402,0.3667,0.6964,0.707,0.5263,0.3516,0.7037,0.6534,0.5263,0.3516
NN,0.6065,0.5909,0.4458,0.3077,0.541,0.5909,0.4526,0.3125,0.6065,0.5959,0.4947,0.3438,0.6393,0.594,0.4457,0.3248,0.6964,0.6019,0.506,0.2609,0.6964,0.6505,0.4889,0.344,0.6393,0.647,0.5402,0.3334,0.7678,0.6666,0.5263,0.3516,0.7037,0.6138,0.4316,0.3203
NN,0.6721,0.5545,0.494,0.3077,0.6065,0.5909,0.4947,0.3438,0.6065,0.5959,0.4526,0.3438,0.6393,0.6435,0.4457,0.3248,0.6964,0.6019,0.4097,0.2261,0.6964,0.6019,0.4445,0.344,0.4918,0.6078,0.4943,0.3334,0.625,0.6262,0.4842,0.3203,0.537,0.4951,0.4842,0.3516
NN,0.6065,0.5545,0.4458,0.3077,0.6721,0.5909,0.4526,0.3438,0.6065,0.5959,0.4526,0.3438,0.6393,0.594,0.4022,0.3248,0.6964,0.5631,0.4097,0.2261,0.5536,0.5631,0.4889,0.344,0.4918,0.4902,0.4943,0.3334,0.4821,0.394,0.5263,0.4609,0.2593,0.2476,0.6105,0.5781
NN,0.6721,0.5909,0.4458,0.3077,0.6065,0.5545,0.4526,0.3438,0.6065,0.5555,0.4526,0.3125,0.6393,0.5544,0.4022,0.2906,0.5536,0.5631,0.4578,0.2609,0.5536,0.5243,0.4889,0.344,0.4426,0.3824,0.5402,0.45,0.2679,0.2526,0.6105,0.5781,0.2593,0.2476,0.5684,0.4922
NN,0.541,0.5182,0.3976,0.2735,0.541,0.5545,0.4526,0.3672,0.4262,0.4647,0.4526,0.3985,0.3771,0.3961,0.5326,0.4188,0.2858,0.2136,0.6626,0.5826,0.1608,0.1263,0.8333,0.7919,0.1968,0.1569,0.6896,0.6666,0.0894,0.0506,0.8736,0.914,0.0742,0.0199,0.9368,0.8905
NN,0.541,0.5545,0.4458,0.3334,0.4262,0.4364,0.4526,0.3985,0.2623,0.3435,0.4947,0.4766,0.2623,0.1981,0.6304,0.641,0.1608,0.1263,0.8313,0.7478,0.1072,0.068,0.8333,0.8479,0.0821,0.0491,0.9195,0.9332,0.0894,0.0203,0.9368,0.8905,0.0742,0.0199,0.8736,0.914
NN,0.1968,0.2001,0.6506,0.6068,0.0984,0.1183,0.7263,0.7265,0.0165,0.0809,0.7263,0.7812,0.0984,0.0496,0.8478,0.8632,0.1072,0.068,0.8313,0.8086,0.0537,0.068,0.8999,0.8159,0.0329,0.0197,0.9884,0.9332,0.0358,0.0203,0.9368,0.8905,0.0186,0.0199,0.8736,0.8593
NN,0.0984,0.1183,0.759,0.7265,0.0165,0.091,0.7263,0.7812,0.0493,0.0506,0.7789,0.8359,0.0984,0.0496,0.7826,0.8632,0.0537,0.068,0.9035,0.7739,0.0537,0.068,0.7777,0.8479,0.0329,0.0197,0.9884,0.9083,0.0358,0.0203,0.8736,0.8593,0.0742,0.0199,0.8736,0.8593
NN,0.0165,0.091,0.759,0.7863,0.0493,0.0637,0.7789,0.8359,0.0493,0.0506,0.7789,0.8359,0.0493,0.0496,0.8478,0.829,0.0537,0.068,0.771,0.8086,0.0537,0.0389,0.7777,0.8799,0.0329,0.0197,0.9195,0.8749,0.0894,0.0203,0.8736,0.8593,0.0186,0.0199,0.8736,0.8593
NN,0.0493,0.0637,0.8192,0.8461,0.0165,0.0365,0.7789,0.8124,0.0493,0.0506,0.7263,0.8124,0.0493,0.0199,0.7282,0.8974,0.0537,0.068,0.9035,0.8086,0.0537,0.0389,0.8333,0.8479,0.0329,0.0197,0.9195,0.8749,0.0358,0.0203,0.821,0.8281,0.0186,0.0199,0.821,0.8281
NN,0.0493,0.091,0.759,0.8461,0.0493,0.0637,0.7789,0.8359,0.0493,0.0506,0.7263,0.8124,0.0984,0.0199,0.8478,0.8974,0.0001,0.0389,0.9035,0.8086,0.0001,0.0389,0.8999,0.8799,0.0821,0.0491,0.9195,0.8166,0.0358,0.0203,0.821,0.8281,0.0186,0.0199,0.821,0.8046
NN,0.0493,0.0637,0.8192,0.8461,0.0493,0.0637,0.7263,0.8124,0.1968,0.2728,0.5789,0.5312,0.0001,0.0199,0.8478,0.8632,0.0001,0.0389,0.9035,0.8434,0.0537,0.1263,0.7777,0.728,0.0329,0.0197,0.862,0.8416,0.0358,0.0203,0.821,0.8046,0.0742,0.0496,0.7157,0.8046
NN,0.1968,0.2637,0.5903,0.5128,0.541,0.5909,0.5368,0.3672,0.6721,0.7373,0.6316,0.4219,0.0493,0.109,0.7282,0.735,0.4107,0.4466,0.6024,0.3566,0.7678,0.7281,0.6222,0.432,0.0821,0.0491,0.7471,0.8166,0.1608,0.2223,0.6631,0.5781,0.537,0.5742,0.5684,0.4063
NN,0.6065,0.5545,0.3976,0.3077,0.4754,0.4727,0.3369,0.2813,0.4754,0.5959,0.4105,0.3125,0.5738,0.594,0.3587,0.3248,0.625,0.5631,0.3615,0.2609,0.625,0.5631,0.4,0.344,0.4918,0.451,0.2989,0.2417,0.4821,0.505,0.3474,0.2969,0.537,0.5346,0.3895,0.3203
NN,0.4754,0.4727,0.3133,0.2394,0.4754,0.5545,0.4105,0.3125,0.541,0.5555,0.3684,0.3125,0.5738,0.5544,0.3587,0.3248,0.625,0.5631,0.3615,0.2609,0.4821,0.5631,0.4,0.312,0.4426,0.4902,0.3449,0.275,0.5357,0.5454,0.3895,0.3203,0.537,0.5346,0.4316,0.3516
NN,0.4754,0.5545,0.3976,0.2735,0.541,0.5182,0.3684,0.3125,0.541,0.505,0.3684,0.3125,0.5738,0.5544,0.3587,0.3248,0.4821,0.5631,0.3615,0.2261,0.5536,0.5631,0.4,0.344,0.4918,0.5294,0.3908,0.3,0.5357,0.5454,0.4316,0.3516,0.6296,0.5742,0.4316,0.3203
NN,0.541,0.4727,0.3494,0.2735,0.4262,0.4727,0.3369,0.2813,0.4754,0.505,0.3369,0.2579,0.5082,0.5544,0.3587,0.3248,0.5536,0.5243,0.3133,0.2261,0.5536,0.5243,0.4,0.312,0.5738,0.5686,0.4368,0.3,0.625,0.5454,0.3895,0.2969,0.537,0.4951,0.3474,0.2969
NN,0.4262,0.4727,0.3133,0.2394,0.4754,0.4727,0.3369,0.2579,0.4262,0.4647,0.2527,0.2579,0.5082,0.5148,0.3153,0.2906,0.5536,0.5243,0.3615,0.2261,0.5536,0.4854,0.3111,0.256,0.5738,0.5294,0.3908,0.275,0.5357,0.505,0.3474,0.2969,0.537,0.4951,0.3053,0.2969
NN,0.4754,0.4727,0.3133,0.2137,0.4262,0.4364,0.2527,0.2579,0.3115,0.3435,0.2527,0.2266,0.5082,0.5148,0.3587,0.2906,0.5536,0.4854,0.2651,0.1653,0.4107,0.4466,0.2667,0.2241,0.4918,0.4902,0.3449,0.275,0.5357,0.505,0.3053,0.2969,0.537,0.5346,0.3053,0.2657
NN,0.6393,0.5636,0.4578,0.2992,0.6393,0.5636,0.5053,0.336,0.6393,0.6565,0.4632,0.336,0.6393,0.6534,0.5109,0.3419,0.7678,0.6602,0.5301,0.2783,0.6964,0.6213,0.4556,0.328,0.7049,0.647,0.5402,0.375,0.6785,0.6666,0.5263,0.3594,0.537,0.5346,0.4842,0.3594
NN,0.6393,0.6091,0.4578,0.2992,0.6393,0.5636,0.4211,0.3047,0.6393,0.606,0.4211,0.336,0.4918,0.6138,0.4674,0.3419,0.625,0.6213,0.4819,0.2435,0.5357,0.5049,0.5111,0.36,0.4262,0.4216,0.4943,0.4084,0.3215,0.293,0.5684,0.5547,0.1667,0.1585,0.6631,0.6797
NN,0.6393,0.5636,0.4097,0.265,0.6393,0.5636,0.4211,0.336,0.6393,0.5656,0.4211,0.3047,0.5738,0.6138,0.4674,0.3077,0.5357,0.5049,0.4819,0.2783,0.4821,0.3981,0.5555,0.472,0.2951,0.2844,0.5862,0.55,0.1786,0.1617,0.6631,0.6797,0.0371,0.0496,0.821,0.7812
NN,0.6393,0.5273,0.4097,0.265,0.5082,0.5273,0.4632,0.336,0.5082,0.5252,0.4632,0.336,0.4426,0.3862,0.5109,0.4615,0.2679,0.2622,0.6265,0.5304,0.2679,0.2622,0.6,0.504,0.0493,0.0491,0.862,0.7916,0.0537,0.0506,0.7684,0.7812,0.1112,0.0793,0.7157,0.7187
NN,0.5082,0.5273,0.4578,0.2992,0.5082,0.4909,0.4632,0.336,0.3771,0.4041,0.5474,0.4219,0.246,0.2476,0.5978,0.5897,0.2679,0.2622,0.5783,0.4348,0.2143,0.1748,0.7,0.68,0.0493,0.0491,0.8045,0.7916,0.1251,0.0809,0.7157,0.7187,0.1667,0.1585,0.6631,0.5859
NN,0.5082,0.4909,0.4578,0.2992,0.3771,0.3818,0.5474,0.4219,0.2623,0.2021,0.6421,0.625,0.246,0.2476,0.5543,0.4957,0.2143,0.1748,0.6867,0.6261,0.0894,0.068,0.9221,0.9359,0.1148,0.0785,0.7471,0.725,0.1786,0.1617,0.6631,0.5859,0.0371,0.0793,0.821,0.8437
NN,0.2623,0.2001,0.6626,0.6154,0.1476,0.1183,0.7894,0.7734,0.0984,0.0506,0.7894,0.8281,0.0821,0.0496,0.8695,0.9572,0.0894,0.0389,0.9999,0.8782,0.0894,0.0389,0.9221,0.9359,0.0493,0.0785,0.862,0.8583,0.0001,0.0304,0.9368,0.9452,0.0371,0.0298,0.9368,0.9765
NN,0.1476,0.1183,0.8313,0.7777,0.0984,0.0637,0.7894,0.8281,0.0984,0.0506,0.8526,0.8281,0.0821,0.0199,0.9347,0.9315,0.0894,0.0389,0.9276,0.9043,0.0358,0.0389,0.9888,0.9359,0.0001,0.0295,0.9884,0.9666,0.0537,0.0304,0.9368,0.9765,0.0371,0.0001,0.9999,0.9452
NN,0.0984,0.0637,0.8313,0.8375,0.0984,0.0637,0.8526,0.8281,0.0984,0.0506,0.7894,0.8281,0.0821,0.0199,0.8695,0.9572,0.0358,0.0389,0.9999,0.9043,0.0358,0.0389,0.9888,0.9119,0.0493,0.0295,0.9884,0.9999,0.0537,0.0001,0.9999,0.9452,0.0371,0.0001,0.9368,0.9452
NN,0.0493,0.0637,0.771,0.8375,0.0493,0.0365,0.7368,0.8593,0.0493,0.0506,0.8526,0.8281,0.0821,0.0199,0.8695,0.8974,0.0358,0.0389,0.9276,0.8434,0.0358,0.0389,0.8666,0.8479,0.0493,0.0001,0.9309,0.8916,0.0537,0.0304,0.8841,0.8437,0.1112,0.0496,0.821,0.7812
NN,0.0493,0.0365,0.771,0.8717,0.0493,0.0637,0.8526,0.8281,0.0493,0.0203,0.7894,0.8281,0.0329,0.0199,0.8695,0.8974,0.0358,0.0389,0.8674,0.8086,0.0358,0.0389,0.8666,0.8479,0.0493,0.0295,0.9309,0.8583,0.1251,0.0506,0.821,0.7812,0.1112,0.0793,0.7684,0.75
NN,0.0493,0.0637,0.9035,0.8375,0.0493,0.0365,0.7894,0.8281,0.0984,0.0203,0.8526,0.8593,0.0329,0.0199,0.8152,0.8632,0.0358,0.0389,0.8674,0.8086,0.0894,0.068,0.9221,0.8239,0.1148,0.0491,0.862,0.7916,0.1251,0.0809,0.7684,0.75,0.0371,0.0496,0.7157,0.7812
NN,0.0493,0.0365,0.8313,0.8375,0.0984,0.0365,0.8526,0.8593,0.0001,0.0203,0.8526,0.8281,0.0329,0.0199,0.8152,0.8632,0.0894,0.068,0.9276,0.7826,0.0358,0.0389,0.8666,0.8479,0.1148,0.0785,0.8045,0.7583,0.0537,0.0506,0.7157,0.7812,0.0371,0.0793,0.7684,0.7812
NN,0.0984,0.0365,0.9035,0.8717,0.0001,0.0365,0.8526,0.8281,0.0001,0.0203,0.8526,0.8593,0.0821,0.0496,0.8695,0.8375,0.0358,0.0389,0.8674,0.8086,0.0358,0.0389,0.8666,0.8239,0.0493,0.0491,0.7471,0.7916,0.0537,0.0809,0.7684,0.7812,0.1112,0.0496,0.7684,0.8124
NN,0.0001,0.0365,0.9035,0.8717,0.0493,0.1183,0.7368,0.7109,0.3771,0.4445,0.5895,0.4219,0.0329,0.0199,0.8152,0.8375,0.0894,0.068,0.7469,0.7826,0.1608,0.2331,0.7,0.592,0.1148,0.0491,0.8045,0.8249,0.1251,0.0304,0.821,0.7812,0.1112,0.0793,0.7684,0.75
NN,0.0493,0.1183,0.771,0.7094,0.3771,0.4182,0.5895,0.4219,0.7049,0.7373,0.5895,0.4219,0.0821,0.0496,0.7065,0.8375,0.1608,0.2331,0.6867,0.5304,0.5357,0.5825,0.6,0.416,0.1148,0.0295,0.862,0.7916,0.1251,0.0809,0.7684,0.75,0.3149,0.2872,0.5684,0.4922
NN,0.3771,0.4182,0.6024,0.3932,0.7049,0.6818,0.5895,0.4219,0.7704,0.8282,0.6421,0.4844,0.1476,0.2179,0.6521,0.5897,0.5357,0.5825,0.5783,0.3392,0.8392,0.7378,0.6444,0.472,0.1148,0.0785,0.8045,0.7583,0.3215,0.293,0.5684,0.4922,0.6851,0.6138,0.5263,0.3906
NN,0.7049,0.6818,0.5542,0.3932,0.6393,0.6454,0.5053,0.3906,0.7049,0.6969,0.5895,0.4219,0.7049,0.693,0.5543,0.4017,0.6964,0.6602,0.4217,0.2783,0.625,0.5825,0.5111,0.328,0.6229,0.6078,0.4598,0.3084,0.5357,0.505,0.2843,0.2579,0.6111,0.5346,0.3684,0.2969
NN,0.6393,0.6454,0.506,0.359,0.7049,0.6454,0.5895,0.4219,0.6393,0.6969,0.5474,0.4219,0.6393,0.6534,0.4131,0.3419,0.625,0.5825,0.4819,0.2435,0.4821,0.5049,0.3667,0.304,0.4918,0.4902,0.2759,0.2334,0.6071,0.5454,0.3684,0.2969,0.6111,0.4951,0.4105,0.3282
NN,0.7049,0.6454,0.6024,0.3932,0.6393,0.6454,0.5474,0.4219,0.6393,0.6969,0.5053,0.3906,0.5738,0.5742,0.4674,0.3077,0.4821,0.5049,0.3253,0.2174,0.4821,0.5049,0.3667,0.304,0.5574,0.5294,0.3678,0.275,0.6071,0.505,0.4105,0.3282,0.6111,0.4951,0.3684,0.3282
NN,0.6393,0.6454,0.5542,0.3932,0.6393,0.6454,0.5053,0.3906,0.5738,0.6565,0.4632,0.3672,0.4426,0.4951,0.3261,0.2821,0.4821,0.5049,0.3253,0.2174,0.5357,0.466,0.4111,0.304,0.5574,0.4902,0.4138,0.3084,0.6071,0.505,0.3684,0.3282,0.537,0.4951,0.3684,0.2969
NN,0.5738,0.6091,0.4578,0.3334,0.5738,0.5636,0.379,0.336,0.5738,0.5656,0.379,0.336,0.4918,0.4555,0.3696,0.2821,0.5357,0.466,0.2772,0.1827,0.4821,0.5049,0.3667,0.304,0.4918,0.4902,0.3678,0.275,0.6071,0.505,0.3264,0.2969,0.537,0.4951,0.3684,0.2579
NN,0.5738,0.5273,0.3615,0.2992,0.4426,0.5273,0.379,0.3047,0.5082,0.5656,0.379,0.336,0.4918,0.5346,0.3696,0.3077,0.5357,0.5437,0.4217,0.2783,0.625,0.5825,0.4556,0.328,0.6229,0.5686,0.4138,0.3084,0.6071,0.5858,0.4105,0.3282,0.6111,0.5346,0.4105,0.2969
NN,0.5082,0.4909,0.3615,0.265,0.5082,0.4546,0.2948,0.25,0.3771,0.4445,0.2527,0.2188,0.4918,0.4951,0.3261,0.2821,0.5357,0.5049,0.2772,0.2174,0.5357,0.5437,0.3223,0.272,0.5574,0.5294,0.4138,0.3084,0.6071,0.505,0.4105,0.3282,0.537,0.4951,0.3684,0.2969
NN,0.7049,0.6182,0.5301,0.3505,0.6393,0.6545,0.5263,0.3516,0.6393,0.6666,0.5263,0.3516,0.6229,0.693,0.5109,0.3505,0.7678,0.6213,0.5301,0.287,0.7678,0.6602,0.5555,0.4,0.6065,0.6568,0.5402,0.3917,0.7321,0.6767,0.4842,0.3828,0.7407,0.6138,0.5263,0.3516
NN,0.6393,0.6545,0.5301,0.3163,0.6393,0.6182,0.5263,0.3516,0.7049,0.6666,0.5263,0.3516,0.7049,0.6138,0.5109,0.3505,0.7678,0.6602,0.5301,0.3218,0.6785,0.6602,0.5555,0.368,0.6721,0.6568,0.4943,0.3667,0.7321,0.6262,0.5263,0.3516,0.5926,0.4951,0.4842,0.4063
NN,0.7049,0.6182,0.5301,0.3163,0.6393,0.5818,0.4316,0.3203,0.4918,0.6262,0.4842,0.3516,0.6229,0.6534,0.5109,0.3505,0.5357,0.5437,0.4819,0.287,0.4643,0.4369,0.5111,0.432,0.541,0.4902,0.4943,0.3917,0.4464,0.3435,0.5263,0.4922,0.2593,0.2377,0.6105,0.6094
NN,0.4918,0.5818,0.4819,0.3163,0.5738,0.5818,0.4842,0.3203,0.4918,0.505,0.4842,0.3516,0.4262,0.4258,0.4674,0.4188,0.3215,0.301,0.5783,0.5043,0.1786,0.1748,0.7,0.696,0.246,0.2353,0.6322,0.6083,0.1429,0.0809,0.7578,0.75,0.0186,0.0298,0.8105,0.8124
NN,0.5738,0.5818,0.4819,0.2821,0.4918,0.4727,0.4842,0.3516,0.4426,0.394,0.5263,0.4609,0.2951,0.2872,0.5543,0.5641,0.1786,0.1748,0.6867,0.6434,0.0537,0.068,0.8666,0.7999,0.1312,0.0785,0.793,0.7583,0.0358,0.0304,0.8105,0.8124,0.0186,0.0496,0.8105,0.8124
NN,0.4918,0.4727,0.4819,0.3163,0.4426,0.3728,0.5263,0.4609,0.246,0.2526,0.6105,0.5781,0.164,0.1585,0.6521,0.7008,0.0537,0.068,0.8674,0.7565,0.0537,0.068,0.811,0.7999,0.0329,0.0295,0.8505,0.8249,0.0358,0.0506,0.8105,0.8124,0.0186,0.0298,0.7578,0.8124
